PID,Name of Project ,Description,Objectives,Project Highlight,Agroecological Zone,Region,District,Beneficiaries,"CSA Pillars (Productivity (food security), mitigation and adaptation)",System,Water Management ,Soil Nutrient and Land Management,Genetic Resources,Energy Management,Other Thematic Areas,CSA Technology
P011,Northern Savanna Biodiversity Conservation (NSBC) Project,"Improve the livelihood and health of communities in the northern savanna zone of Ghana, and the environment through the conservation and sustainable use of natural resources including medicinal plants.",,,," UE, UW, NR",,,,Crop production,,Yes ,,,Yes-Biodiversity,
P012,Northern Rural Growth Programme (NGRP),"Achieve sustainable agricultural and rural livelihoods and food security for the rural poor particularly those in deprived areas, rural women and other vulnerable groups in its area of operations.",,,,"UE, UW, NR, BA",,,,Crop production,Yes ,,,,,
P013,Volta Region Agricultural Development Project,"Increase agricultural production, boost farm incomes and improve rural living standards",,,,VR ,,,,Crop production,,Yes ,,,,
P014,Smallholder Rehabilitation and Development Programme,Supported smallholder farmers cultivating cereals and groundroots in the Ashanti and Northern regions,,,,"AR, NR",,,,Crop Production ,,Yes ,,,,
P015,"Smallholder Credit, Input Supply and Marketing Project",The project's goal was to help farmers achieve better food security by increasing production and managing their surpluses better.,,,,"BR, AR, VR, ER",,,,Financial,,,,,,
P016,Upper East Region Land Conservation and Smallholder Rehabilitation Project,Increasing the incomes of rural poor people in the region while protecting the environment and improving access to water.,,,,UE,,,,Crop Production ,Yes ,Yes ,,,,
P017,Upper-East Region Land Conservation and Smallholder Rehabilitation Project - Phase II,Increasing the incomes of rural poor people in the region while protecting the environment and improving access to water.,,,,UE,,,,Crop Production ,Yes ,Yes ,,,,
P018,Upper West Agricultural Development Project,"Increasing agricultural productivity through development, enhancing community and women's participation, increasing access to financial services and loans, developing infrastructure for water management and improving project management.",,,,UW,,,,Crop Production ,Yes ,Yes ,,,,
P019,Root and Tuber Improvement Programme,Enhance food security and improve incomes of resource poor farmers by facilitating their access to adaptable and proven Root & Tuber technologies.,,,,All Regions,,,,Crop Production ,,,,,,
P020,Northern Region Poverty-Reduction Programme,Contribute to an equitable and sustainable poverty reduction and food security among rural households.,,,,"BA, NR, UE, UW",,,,Crop Production ,Yes ,Yes ,,,,
P021,Root and Tuber Improvement and Marketing Programme,"Enhancing the  livelihood of the rural poor who rely on roots and tubers for their income and food security. The programme promotes the development of competitive, market-based and inclusive R&T commodity chains by providing relevant, effective and sustainable services, accessible by the rural poor. Develops linkages within the commodity chain for roots and tubers; enhances the production of roots and tubers through improved technologies; and develops the processing and marketing infrastructure for roots and tubers.",,,,All Regions,,,,,Yes,Yes,,,,
P022,Ghana Landscape Restoration and Small Scale Mining Project (GLRSSMP) ,Strengthen integrated natural resource management and increase benefits to communities in targeted savannah and cocoa forest land scapes,,,,"AR, WR, ER, UE, UW SR, BE, NE, CR","Adansi South (Pra River Basin)
Asante Akim South (Pra River Basin)
Atwima Mponua (Tano River Basin)
Bosome Freho (Pra River Basin)
Juaben Municipal (Pra River Basin)
Sekyere Afram Plains North (Afram River Basin)
Sene West (Sene River Basin)
Assin North (Pra River Basin)
Twifo Ati Morkwa (Pra River Basin)
East Akim (Pra River Basin) (ASM)
Kwahu Afram Plains North (Afram River Basin)
Kwahu South (Pra River Basin)
Kwahu East (Pra River Basin)
Kwahu West (Pra River Basin)
Kwahu Afram Plains South (Obosum River Basin / Afram River Basin)
Mamprugu Moagduri (Nasia River Basin)
West Mamprusi (Nasia River Basin)
Sawla-Tuna-Kalba (Black Volta River Basin)
West Gonja (Black Volta River Basin)
Builsa South (Sisili River Basin)
Bawku West (Red Volta River Basin)
Kassena-Nankana (Sisili River Basin)
Talensi (Red Volta River Basin)
Daffiama-Bussie-Issa (Kulpawn River Basin)
Sissala East (Sisili River Basin)
Sissala West (Kulpawn River Basin)
Wa East (Kulpawn River Basin)
Prestea-Huni Valley (Pra River Basin) (ASM)
",,,"Crop Production, Forestry",Yes ,Yes,No,No,"Yes- Environment and Natural Resource Management, Urban and Rural Development, Human Development and Gender, Private Sector Development",
P023,Sustainable Land and Water Management Project (SLWMP),Recovery of degraded land in Northern Ghana for agriculture activities through adoption of sustainable land and water management practices.,Expand the area under sustainable land and water management practices in selected watersheds,,,"NR, SR, NE, UE, UW","Mamprugu Moaduri, West Mamprusi, West Gonja and Sawla Tuna-Kalba Districts in the Northern Region, Talensi, Bawku West, Builsa South and Kassena Nankana West districts in the Upper East Region and Wa East, Daffiama-Bussie Issa, Sissala East and Sissala West Districts in the Upper West Region",,,Crop production,Yes ,yes,,,,
P024,Landscape Restoration and Ecosystem Management for Sustainable Food Systems,Strengthen integrated natural resource management and increase benefits to communities in targeted savannah and cocoa forest land scapes,,,,"ER, SR, AR, CR, UE, UW, NE","Sene West in the Bono East Region; Kwahu East, Kwahu West and Kwahu South Afram Plains Districts in the Eastern Region; Sissala East and Daffiama-Bussie-Issa Districts in the Upper West Region; Talensi and Bawku West Districts in the Upper East Region; West Mamprusi and Mamprugu Moagduri Districts in the North East Region; Sawla-Tuna- Kalba and West Gonja Districts in the Savanna Region; Adansi South, Atwima Mponua, New Juaben North and Ashanti Akim South in the Ashanti Region and Assin North and Twifo Ati Morkwa in the Central Region",,,"Crop Production, Forestry",Yes ,Yes,No,No,"Yes- Environment and Natural Resource Management, Urban and Rural Development, Human Development and Gender",
P025,Commercial Agriculture Project (GCAP),"Improve agricultural productivity of both small-holder and nucleus farms in selected project intervention areas through increased access to reliable water, land, finance and agricultural input and output markets",,,,"GR, VR, BA, UW, UE, NR",,,,Crop production,Yes ,,,,,
P026,The Ghana Peri-urban Vegetables Value Chain Project (GPVVCP),Improving food security by increasing production and market access for vegetable both for domestic consumption and exports.,,,,"VR, GR, ER, WE","South and North Tongu, Ada East, Ahanta West, Upper Manya Krobo",,,Crop Production,Yes ,Yes,,,"Yes- Farmer Managed Irrigation Systems Development, Farmer Capacity Development and Support for Productivity Improvement,  Improving Post-Harvest Handling and Market Access, Monitoring and Evaluation, and Knowledge Dissemination and Project
Management and Administration",
P027,The Savannah Zone Agricultural Productivity Improvement Project (SAPIP),"Transform agricultural value chains for food and nutrition security, job and wealth creation within the Savannah Zone",,"Increase farmers’ food and nutrition security, Increase incomes through increased agricultural productivity and diversification;Enhance the creation and strengthening of agri businesses to increase incomes of actors along selected value chains on a sustainable basis.50,000
Direct beneficiaries are expected to be reached, 250,000
Farmers will be supported nationwide through input subsidy Programme of the Ministry of Food and Agriculture. 50
Beneficiaries to be specifically targeted will be women and the youth.","Guinea Savannah, Sudan Savanna,Semi-deciduous forest, Coastal Savannah","NR, UE, VR, AR, CR","Savelugu-Nanton, Builsa, Tolon, Ho Municipal, Temale Metropolitant, Kumasi metropolitant, Effutu municipal district",,Productivity,Crop Production,Yes ,,,,,
P028,Rice Sector Support Project,Improve livelihood of poor farmers in the targeted regions through the development of a sustainable economic activity based on the natural potential of the region,The overall objective of the project is to improve livelihood of poor farmers in the targeted regions through the development of a sustainable economic activity based on the natural potential of the region.,,"Guinea Savannah, Sudan Savanna,Semi-deciduous forest","NR, UE, UW, VR",,,Productivity,Crop Production,Yes,Yes,,,,Production
P029,Cocoa & Forests Initiative,Provide the enabling environment for cocoa players to positively contribute to the preservation of forests in Ghana.,,,," AR, AHR, ER, WN, CR","Ahafo Ano South , Atwima Mponua , Atwima Nwabiagya,",,,Crop Production,,Yes,,,Yes-Agroforestry,
P030, Cocoa Forest REDD Emissions Reduction (ER) Programme ,Reduce deforestation and degradation in a sub-national landscape,,,,"AR, WR, ER","Asunafo, Asutif, Atiwa , Denkyembour , East Akim, Bibiani , Anwiaso , Sefwi Wiawso, Juabeso Bia,",,,"Crop Production, Forestry",Yes ,Yes,No,No,,
P031,Climate Change Adaptation in Northern Ghana Enhanced (CHANGE),"Support smallholder farmers to improve their adaptive capacity and build their resilience to the impacts of climate change on agriculture, food security and livelihoods.","Increase access to information about climate change and its effects, and to strengthen the capacity of women and men smallholder farmers to implement adaptive actions. Train agricultural extension agents, farmers, and farmer-based organization leaders to implement climate-adaptive agriculture practices that build community resilience to the impacts of climate change. Increase women’s participation in sustainable agricultural and alternate livelihoods.","2,000 farmers in 17 rural communities in Northern Ghana have received in-person training on climate-smart agricultural techniques.600 women have been organized into 30 basket weaving groups; 89% reported increased incomes in 2013. 93% of farmers tested one or more climate-smart agricultural methods (e.g., low tillage, drought-resilient seeds, planting across/along slopes, mulching, etc).150 women have planted 173 acres of land with four indigenous seed varieties, saving them from extinction and earning both income and respect in their communities.Tree nursery groups, comprised entirely of women, have successfully germinated 3,000 mango seedlings and approximately 1,220 Acacia seedlings. 112 farmer-based organizations are now organized, including participation of up to 75% women, up from virtually zero at the beginning of the project.Farmers were trained on improved post-harvest storage facilities (cleaning, drying, pesticide use, stocking procedures) which reduced post-harvest losses by an estimated 70%.2,305 smallholder farmers, 67% female, are using energy-saving stoves to reduce climate hazards, women’s labour, and health risks.",Guinea Savannah and Sudan Savannah,"NR, SR, NE, UE, UW",,,Adaptation,Crop production,,,Yes,,,
P032,Adaptation of Agro-Ecosystems to Climate Change in Ghana (AAESCC),Reduce climate related yield losses for the farmers and incorporate the results of the activities into agricultural sector policy on adapting land use systems to climate change.,"“The objective of AAESCC is to reduce climate
related yield losses for the farmers and
incorporate the results of the activities into
agricultural sector policy on adapting land use
systems to climate change.”",The project is being implemented in 12 districts of the five regions of the north. Recovered of degraded land in Northern Ghana for agriculture activities through the implementation of the project,"Sudan Savannah, Gunea Savannah, Transitional Zone","NR, BA",,600 farm households,"Adaptation, productivity, food security",Crop production,,Yes ,,,,"soil and water management, seed diverstification, crop production"
P033,Feed the Future (FtF) Ghana Agriculture and Natural Resource Management (AgNRM) Project,Assisted farmers to scale up adoption of climate smart agriculture practices (CSA) that increased both water and plant nutrient-use efficiencies,,,,"UE, UW, NR",,,,Crop Production ,Yes ,Yes ,,,,
P034,Climate-Resilient Agricultural and Food Systems (CRAFS) project,"Building the resilience of women and men by promoting resilient livelihood activities and improving food supply, while regenerating the natural resource base.",,,,"UW, UE, NR","Lawra, Nadowli, Garu Tempani,East Mamprusio",,,Crop production,,Yes,,,,
P035,Resilience Against Climate Change (REACH): Sustainable Development through Climate Resilient Agricultural Production and Planning Systems,"Aims to address the increasing effects of climate change on the agricultural sector in Northern Ghana, with a particular focus on smallholder farmers",,,,"UW, NR, SR","All 11 districts in the Upper West Region, Mamprugu Moagduri in the North East Region, and Sawla-Tuna-Kalba and North Gonja in the Savannah Region",,,Crop production,Yes ,Yes ,,,Yes-Conservation Agriculture and Agroforestry,
P036,Market-Oriented Agriculture Programme (MOAP-NW),Reinvigorate the agriculture sector by improving the quality and sustainability of the production in the Upper West Region and 3 districts of Northern Region.,,,,"UW, SR, NE","Daffiama-Bussie-Issa, North Gonja, Sawla-Tuna-Kalba, Mampurugu Moagduri, Jirapa",,,Crop production,,Yes,,,,
P037,The Competitive Cashew initiative (ComCashew) ,Support to production of improved planting material and development of cashew demonstration plots using Climate-Smart Agriculture,,,,"BA, AR, NR, ER, VR, CR, UE",,,,Crop production,,Yes ,,,,
P038,Market-Oriented Value Chains for Jobs & Growth in the ECOWAS Region (MOVE),Build more sustainable rice & cashew sectors,,,,,,,,Crop production,,Yes ,,,,
P039,Competitive African Rice Initiative (CARI),Significantly improve the livelihoods of smallholder rice farmers and their families by increasing the quality and quantity of domestic rice,"We aim at improving the livelihoods of smallholder rice
farmers and sustainably integrating them into the rice
value chain.",,,,,,,Fish production,Yes,Yes ,,,,
P040,Resiliency in Northern Ghana (RING) Project,"Aims to improve the lives of women, namely by increasing their control over household income and increasing their social capital, resulting in more resilient families and improved nutrition for women and children",,,,NR,All 17 districts,,,Crop production,Yes ,Yes ,,,,
P041,USAID’s Economic Growth program,"Through the Feed the Future initiative, USAID helps Ghana achieve self-reliance by enhancing agricultural productivity and profitability, strengthening competitive market systems, increasing access to finance, 
promoting resilience, optimizing economic inclusion, advancing leadership, and improving nutrition.",,,,NR,,,,,,,,,,
P042,Sustainable Fisheries Management Project (SFMP),Rebuild marine fisheries stocks and catches through adoption of responsible fishing practices.,,,,"GA, WR,CR,VR","Accra Metro. Ahanta West, Cape coast, Dangbe East/West, Efutu municipal. Ellembelle, Ga south, Gomoa east/west, jomoro, Keta, Ketu south, Komenda, Nzema east, Tema Municipal, Sekondi Takoradi.",,,Fish production,Yes,,,,"Yes-Rebuilding marine fish stock, climate change, capacity building",
P043,The Integrated Coastal & Fisheries Governance Initiative (ICFG),"Support the government of Ghana in achieving its development objectives of poverty reduction, food security, sustainable fisheries management and biodiversity conservation. ",,,,WR,,,,Aquaculture,Yes ,No,No,No,Yes-FISHERIES,
P044,Sustainable Coastal Communities and Ecosystems – Ghana (SUCCESS-Ghana),"SUCCESS promoted reform in the policy and practice of nearshore fisheries upon which so many coastal communities in developing countries depend, but which unless better managed are in rapid decline as a food source; and by introducing alternative food sources such as low impact marine agriculture options. SUCCESS also helped identify and share lessons learned about livelihoods strategies that can help reduce poverty in communities—by providing food and income—but through an approach that also sustains and promotes the health of the biodiversity-rich resources upon which this very food and income depends. It also helped best practices that “support” policies that should be in place, whether those are policies and laws focused on a reformed sustainable fisheries and/or policies that recognize and mainstream considerations of the impacts from climate change.",,,,COASTAL COMMUNITIES,,,,Aquaculture,Yes ,No,No,Yes,,
P045,Power to the Fishers: Empowering fishing communities," The overall objective of the project is to enhance the socio-economic livelihoods of fishing communities within selected districts of the coastal savannah zones of Ghana.
This initiative aims at directly targeting 80,000 fish value chain actors mainly fishmongers and fishermen.",,,," CR, WR","AWUTU SENYA EAST, EFFUTU MUNICIPAL, EKUMFI, GOMOA WEST, SHAMA",,,Aquaculture,Yes ,Yes ,No,Yes,,
P046,Banana Accompanying Measures (BAM) for Ghana,"The project is focused on improving the competitiveness of the banana export industry in the face of the tariff preference erosion in the EU market, while ensuring its environmental and socio-economic sustainability in the long run.",,,,GR,KASUNJA,,,Crop Production ,No,Yes ,No,Yes,,
P047,Reversing Land Degradation in Africa by Scaling-up Evergreen Agriculture Project,"Acute and prolonged dry seasons catalyzed by overgrazing, rampant bush burning, and indiscriminate felling of trees for charcoal, are challenges of savannah areas in Ghana. The Regreening Africa 5 years project seeks to reverse land degradation among 40,000 households and across 90,000 hectares in Garu Tempane, Bawku West and Mion Districts in the Northern and Upper East regions of Ghana. By incorporating trees into croplands, communal lands and pastoral areas, it will be possible to contribute to the recovery of Ghana’s degraded landscapes.","The project seeks to reverse land degradation among 40,000 households and across 90,000 hectares in Garu Tempane, Bawku West and Mion Districts in the Northern and Upper East regions of Ghana.","Increasing the tree coverage and better management of the project area: 90,000 hectares of land.  Providing new tree crops and promoting evergreen agricultures practices to smallholder farmers, the project will support 40,000 households.  Training project stakeholders to acquire new knowledge, skills, tools and resources to effectively promote regreening practices.  Disseminating the results of the project to other areas of intervention, compile and communicate best practices to policy makers, government and project stakeholders.",Guinea Savannah and Sudan Savannah,"NR, UE","GARU TEMPANE, BAWKU WEST AND MION",,,Land management,No,Yes ,No,Yes,Agroforestry,
P048,Northern Ghana Integrated Development Project (NGIDP),"The project intends to improve the resilience to climate change, promote sustainable employment opportunities, decent work and access to social protection schemes.",,"Promoting resilient and environmentally-friendly agricultural practices, generating higher income to women and young people, while protecting the environment",Guinea Savanna and Sudan Savanna,"NR,UW,UE (old)",,"The project has empowered 13,500 marginalized women smallholder farmers, young people and people with disabilities, strengthened 300 women farmer groups, 15 farmer networks and trained 1,050 CSO and group leaders.",,sustainable development,No,Yes ,No,Yes,"Yes-Women empowerment, job creation",
P049,Sustainable Livelihoods Project,"The project “Sustainable Livelihoods” aims to contribute at reducing the economic, social and climate change-related vulnerability of rural communities living in Ghana’s savannah ecosystem region.",,,,SAVANNAH ECOLOGICAL ZONES,,,,"sustainable development ; cashew, honey",Yes ,Yes ,No,Yes,,
P050,Savannah Integrated Biodiversity Conservation Initiative (SIBCI),"The project’s long-term goal is to contribute to the achievement of endogenous, sustainable and inclusive economic development that responds to the challenges of climate change. In the mediumterm, the objective is to improve sustainable, participatory and integrated management of the Mole National Park (MNP) towards biodiversity conservation and resilience to climate change.","to contribute to the
achievement of endogenous, sustainable and
inclusive economic development that responds to

the challenges of climate change.","The Project engenders harmony between green
economic activities towards improving the
livelihoods of the peripheral communities, and
conservation of biodiversity within the Mole
National Park (MNP).",Guinea Savannah,SR,West Gonja,,"Resilience, bio-diversity conservation",,Yes ,Yes ,No,Yes,,
P051,"""FAR BAN BO"" PROTECTING FISHERIES LIVELIHOODS","The project contributes to sustainable fisheries resources management to improve food security, nutrition and livelihoods of smallholder fishers and other users of fishery resources in selected districts of the Western, Central, Greater Accra, and Volta regions",,,"Semi-deciduous forest, Coastal Savannah","WR, CR, GR, VR",,,,Aquaculture,Yes ,No,No,Yes,Integrated natural resource management,
P052,Productive Investments for Sustainable Agriculture Development in the Northern Savannah Ecological Zone of Ghana,"The Savannah Investment Programme is considered an instrument to implement the Rearing for Food and Jobs to address key constraints in the livestock industry. The constraints include but not limited to Commercial production of soyabean and maize; Poultry value chain, and Small ruminants value chain. Northern Savannah Ecological Zone (NSEZ constitutes the poorest part of the country with respect to the national average poverty rate. The zone is characterized with relatively more challenging agro-ecological conditions, low socio-economic indicators and historical neglect in public investments in infrastructure and services. Development of this zone has been discussed as a national imperative for Ghana’s balance of payments, macro-economic stability, econom","The project aims to reinvigorate the agriculture
sector by improving the quality and sustainability
of the production.","Increased sustainable and climate
compatible production of diversified food, availability of water for all year-round production,
better use water of resources for crop irrigation and livestock production, access to finance and markets.",Northern Savannah Ecological Zone,,,,"Productiviity, resilience, food security",Livestock Production,Yes ,No,No,Yes,multi focal areas,"Seed diverstification, irrigation, livestock production, water management"
P053,ARCHIPELAGO project: Horticulture in Ghana for a brighter future,"The project is financed by the ARCHIPELAGO programme within the framework of the European Emergency Trust Fund (EUTF) for Africa whose main objective is to improve the employability of youth through targeted technical and vocational training services and strengthen the Micro, Small and Medium Enterprises (MSMEs) in 12 countries in the Sahel and Lake Chad region (Burkina Faso, Cameroon, Chad, Gambia, Ghana, Guinea, Ivory Coast, Mali, Mauritania, Niger, Nigeria, Senegal)","to improve the
employability of youth through targeted technical
and vocational training services and strengthen
the Micro, Small and Medium Enterprises
(MSMEs) in 12 countries in the Sahel and Lake
Chad region (Burkina Faso, Cameroon, Chad,
Gambia, Ghana, Guinea, Ivory Coast, Mali,
Mauritania, Niger, Nigeria, Senegal).","The project addresses increased ability of young people to
integrate into the job market. The chosen approach is
focused on developing and implementing TVET actions that
address the current needs in the horticulture sector.","Semi-deciduous forest, Coastal Savannah",AR,Kwadoso,3000 direct beneficiaries,"Productiviity, food security",crop production. agroforestry ,No,No,No,Yes,"Financing, technical and vocational training","Multi purpose tree planting, seed diverstification"
P054,LANDSCAPES AND ENVIRONMENTAL AGILITY ACROSS THE NATION (LEAN),"The overall objective of this action is to optimise the contribution of land to agriculture, food security, climate change mitigation and adaptation, and the preservation of ecosystems and of the essential services, they provide.",,,,nil,nil,,,landscale,Yes,Yes ,No,Yes,,
P055,Nkoranza North Mushroom Production and Agribusiness Development,"A four-year project targeted to improve mushroom production is expected to create new jobs for 1,300 people – 390 women, 858 youth and 52 people with disabilities to enhance local economic growth and development in the Nkoranza North District of the newly- created Bono East Region. The Africa Centre for Development Finance (ACDF), Centre for Posterity Interest Organisation (COPIO) and Community Youth Development Foundation (CYDF), non-governmental organisations (NGOs) are the EU’s local project implementation partners supporting initiatives towards basic infrastructural development steps comprising of a modern agribusiness incubation centre, spawn laboratory and mushroo",,,,BE ,NORTH NKORANZA,,,infrastructural development,Yes ,No,Yes,Yes,,
P056,Fish for Development Project (FIDEP) Adentan,"The Fish for Development (FIDEP) Project is a 40- month-long Local Economic Development Project seeking to promote local sustainable economic growth and development through fish farming in the Adentan Municipality. It aims at alleviating poverty through the creation of employment for women, persons with disability (PWDs), youth and vulnerable groups along the fish value chain within the Adentan Municipality. A consortium of three partners is implementing the project: Adentan Municipal Assembly (AdMA), Centre for Local Governance Advocacy (CLGA) and Local Governance Network (LoGNet).",,,,GR ,adentan municipality,,,Aquaculture,Yes ,Yes ,No,Yes,,
P057,Bono-Asante Atea (BAAT) Project,"In Ghana, cashew-a non-traditional export crop has become a major foreign exchange earner for the country. Predominantly, cashew production in Ghana is carried out by resource-poor smallholder farmers. Within the agricultural sector, cashew presents huge opportunities for employment and income generation for thousands of people in the transition and northern savannah vegetation zones. Quarcoo (2017) estimated that cashew generated US$ 244 million for the Government of Ghana from a total export of 163,000 MT in 2016. Cashew is one of the crops selected for the Government’s flagship programmes, Planting for Export and Rural Development (PERD).",,,,"BE, AR","wenchi, tain, jaman north, nkoranza north, ejura-sekyedumasi",,,crop production,Yes ,Yes ,No,yes,,
P058,Incubation to Entrepreneurship Project,"The project seeks to Increase income of 8,000 women (40%) and youth in the Tain, Kintampo North and Techiman North districts of the Brong Ahafo region through the establishment of economically viable and environmentally sustainable micro, small and medium enterprises (MSMEs).",,,,BA,"tain, kintampo north, techiman north",,,"crop production, livestock production",No,No,No,No,"Yes- ICT, access to information , business to business linkages",
P059,Promoting Mushroom Industry in Adentan Municipality,"Objectives of the Project Specifically, the project sought to: · Create employment for women, Persons with disabilities, youth and improve and sustain incomes of mushroom farmers. · Develop an environmentally sustainable production chain in mushroom industry in the Adentan Municipality. · Promote mushroom production for job creation, reduction of poverty and increase revenue within the Municipal Assembly. · Generate higher incomes.",,,,GR ,adentan municipality,,,mushroom production,Yes ,Yes ,yes,Yes,Yes,
P060,Agricultural Water Management Project (AWMP)," The overall objective of the project is to increase agricultural incomes, promote inclusive,
climate resilient and sustainable economic growth in rural communities of the Programme
Area by 2026. The specific objective is to enable access to productive environment-friendly
infrastructure to contribute to enhanced household incomes and increased trade of
commodities (in a sustainable environment).",,,,"UW, SR, NR",,,,"irrigation
infrastructures",Yes ,Yes ,No,Yes,,
P061,Project for Sustainable Development of Rain-fed Lowland Rice Production,"Dissemination of the ""model for sustainable development of rain-fed lowland rice production (Model)"" is accelerated within the Project areas.",,"Cocoa smallholder farmers and community leaders in the two target
districts were sensitized and empowered to resist illegal mining, as a
result of the education provided on its effects on the environment
and their livelihoods.",,"NR, AR ","WUNGU, GBIMSI, NACHIMBIYA, SANGA, GBUNG, KPAIBE, ANYINASUSO, KATABO, MPPASATIA, KENSAKROM, AKUTUASE, ATUNSU, SUBRISO, PRASO",,,Land Development and Rice Cultivation Technology,Yes ,Yes ,,,,
P062,Participatory Forest Resource Management Project in the Transitional Zone (PAFORM),This technical cooperation project was implemented to improve partcipatory approaches for sustainable forest reserve management in Sunyani Forest District in the Transitional Zone through pilot activities. The target area is the forest reserves (FR) in Brong Afaho region and the fringe communities of the FR. The Project implemented pilot activities in the 12 fringe communities selcted from the ones around Tain I and Nseemre forest reserves.,,,,BA,"TAIN, NSEMERE",,,land management,Yes,Yes ,No,Yes,,
P063,Rice Value Chain Improvement Project ,A project designed to improve Rice production and productivity to support the Nana Addo Dankwa Akufo-Addo led Government initiatives of attaining self-sufficient in rice production with a grant of USD 8 million from the Korea Government.,,,,CR,ASSIN FOSU,,,Crop Prodcution,Yes ,Yes ,Yes,Yes,,
