PID,Name of Project,Description,Sponsor-Full,Sponsor-Abb,System,WaterManagement,SoilNutrientandLandManagem,GeneticResources,EnergyManagement,OtherThematicAreas,org_type,ImplementingAgencies,Region,District,Community,Status,Year Approved,Year Completed,Link,CSA Technology,Contact Person,Contact Number,Commodity/Livestock,Beneficiaries,subcategory,Agro-ecological suitability of practices (e.g. drought-tolerant varieties),"If Yes, How?",Soil fertility management techniques suited to soil types ,"If Yes, How?.1",Climate forecasting and early warning systems,"If Yes, How?.2",Access to input and output markets ,"If Yes, How?.3",Financial capital/credit availability,"If Yes, How?.4","Rural infrastructure (roads, irrigation, electricity)","If Yes, How?.5",Education/training programs building farmer skills,"If Yes, How?.6",Community cooperative models for resources/labor sharing,"If Yes, How?.7"
P004,Promoting Value Chain Approach to Adaptation in Agriculture,The overall objective is to reduce the vulnerability of the food supply system to the deleterious impacts of climate change. The specific objective is to reduce climate-induced risks in the cassava value chain to the achievement of food security and income generation for pilot rural communities in Ghana.,,,Crop production,Yes ,Yes,No,Yes,Yes-Agroforestry,government,MOFA,Volta Region,"Offinso north, Kintampo, Wenchi, Techiman, Nkroanza, Gonja, Krachi",,Completed,2012,2017,"https://www.ifad.org/documents/38714170/39150184/GEF+Ghana+facsheet.pdf/0d6ea844-332c-40d8-94a7-25ba37592ffb#:~:text=This%20component%20entails%20two%20specific,to%20meteorological%20information%20to%20inform",,Naoufel Telahigue,,Cassava,Poorest in societies that are most affected by CC impact,,,,,,,,,,,,,,,,,
P005,SPWA-BD: Management of Riparian Biological Corridors,"Demonstrate improved sustainable land and water management practices aimed at reducing land degradation and enhancing maintenance of biodiversity in selected micro-watersheds, and (b) strengthen spatial planning for identification of linked watershed investments in the Northern Savanna region of Ghana.",,,Crop production,Yes ,Yes ,No,No,Yes-Biodiversity,government,"Ministry of Land, and Natural Resources",Savannah Region,,,Completed,2010,2918,https://www.thegef.org/projects-operations/projects/3836,,,,,,,,,,,,,,,,,,,,,,
P006,SIP: Sustainable Land Management in Ghana,"Demonstrate improved sustainable land and water management practices aimed atreducinglanddegradation and enhancing maintenance of biodiversity in selected micro-watersheds, and (b) strengthen spatial planningforidentification of linked watershed investments in the Northern Savannah region of Ghana.",,,Crop production,Yes ,Yes ,No,No,Yes-Land Degradation,government,MESTI,Savannah Region,,,Completed,2010,2021,https://www.thegef.org/projects-operations/projects/3369,,,,,,Institution,,,,,,,,,,,,,,,,
P006,SIP: Sustainable Land Management in Ghana,"Demonstrate improved sustainable land and water management practices aimed atreducinglanddegradation and enhancing maintenance of biodiversity in selected micro-watersheds, and (b) strengthen spatial planningforidentification of linked watershed investments in the Northern Savannah region of Ghana.",,,Crop production,Yes ,Yes ,No,No,Yes-Land Degradation,government,MESTI,Upper East Region,,,Completed,2010,2021,https://www.thegef.org/projects-operations/projects/3369,,,,,,Institution,,,,,,,,,,,,,,,,
P007,"Sustainable Land Management for Mitigating Land Degradation, Enhancing Agricultural Biodiversity and Reducing Poverty (SLaM)","Contribute to sustainable ecosystem-based integrated land management in globally, nationally and locally significant land resources in agricultural areas under threat of land degradation, for greater ecosystem stability, enhanced food security and improved rural livelihoods.",,,Crop production,,Yes,No,No,Yes-Biodiversity land degradation,government,University of Ghana and Consortium of Partners,Eastern Region,"Akuapim South, Upper Manya Krobo","Obodan, Sekesua",Completed,2005,2009,https://www.gefieo.org/sites/default/files/documents/projects/tes/2402-terminal-evaluation.pdf,,,,,,,,,,,,,,,,,,,,,,
P007,"Sustainable Land Management for Mitigating Land Degradation, Enhancing Agricultural Biodiversity and Reducing Poverty (SLaM)","Contribute to sustainable ecosystem-based integrated land management in globally, nationally and locally significant land resources in agricultural areas under threat of land degradation, for greater ecosystem stability, enhanced food security and improved rural livelihoods.",,,Crop production,,Yes,No,No,Yes-Biodiversity land degradation,government,University of Ghana and Consortium of Partners,Western Region,"Akuapim South, Upper Manya Krobo","Obodan, Sekesua",Completed,2005,2009,https://www.gefieo.org/sites/default/files/documents/projects/tes/2402-terminal-evaluation.pdf,,,,,,,,,,,,,,,,,,,,,,
P007,"Sustainable Land Management for Mitigating Land Degradation, Enhancing Agricultural Biodiversity and Reducing Poverty (SLaM)","Contribute to sustainable ecosystem-based integrated land management in globally, nationally and locally significant land resources in agricultural areas under threat of land degradation, for greater ecosystem stability, enhanced food security and improved rural livelihoods.",,,Crop production,,Yes,No,No,Yes-Biodiversity land degradation,government,University of Ghana and Consortium of Partners,Ashanti Region,"Akuapim South, Upper Manya Krobo","Obodan, Sekesua",Completed,2005,2009,https://www.gefieo.org/sites/default/files/documents/projects/tes/2402-terminal-evaluation.pdf,,,,,,,,,,,,,,,,,,,,,,
P007,"Sustainable Land Management for Mitigating Land Degradation, Enhancing Agricultural Biodiversity and Reducing Poverty (SLaM)","Contribute to sustainable ecosystem-based integrated land management in globally, nationally and locally significant land resources in agricultural areas under threat of land degradation, for greater ecosystem stability, enhanced food security and improved rural livelihoods.",,,Crop production,,Yes,No,No,Yes-Biodiversity land degradation,government,University of Ghana and Consortium of Partners,Savannah Region,"Akuapim South, Upper Manya Krobo","Obodan, Sekesua",Completed,2005,2009,https://www.gefieo.org/sites/default/files/documents/projects/tes/2402-terminal-evaluation.pdf,,,,,,,,,,,,,,,,,,,,,,
P008,Community-based Integrated Natural Resources Management Project in Okyeman,Enhance biodiversity conservation and sustainable use of renewable natural resources in Okyeman through community-based integrated natural resource management approaches,,,Crop production,,Yes ,No,No,,government,MESTI,Eastern Region,,Akyem Abuakwa,,,,,,"Baffour Asante Bediatuo,",opfie@idngh.com,,,,,,,,,,,,,,,,,,,
P009,Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),"Accelerate the use, application and adaptation of climate - relevant ESTs that are supportive to socio-economic development objectives of Ghana.",United Nations Development Programme,UNDP,Crop production,Yes,Yes,No,No,Yes-Biodiversity,government,Ministry of Forestry & Environment,,,,,2001,,https://www.thegef.org/projects-operations/projects/1002,,,nkoranteng@ghana.com,,,,No,,No,,,,,,,,,,,,,
P010,Biodiversity Conservation of Lake Bosumtwe Basin,Conserving and sustainably managing natural resources and land use in Ghana,,,Crop production,Yes ,Yes ,,,Yes-Biodiversity,ngo,Friends of the Earth/Ghana,Ashanti Region,Bosomtwe District,Abono ,Completed,2000,2013,https://www.thegef.org/projects-operations/projects/817,,,,,,,,,,,,,,,,,,,,,,
P011,Northern Savanna Biodiversity Conservation (NSBC) Project,"Improve the livelihood and health of communities in the northern savanna zone of Ghana, and the environment through the conservation and sustainable use of natural resources including medicinal plants.",,,Crop production,,Yes ,,,Yes-Biodiversity,government,Ministry of Land and Forestry and Mines,Upper East Region,,,Completed,2002,2006,,,Mr. James Amissah,jamissah@mlf-gh.com,,,,,,,,,,,,,,,,,,,
P011,Northern Savanna Biodiversity Conservation (NSBC) Project,"Improve the livelihood and health of communities in the northern savanna zone of Ghana, and the environment through the conservation and sustainable use of natural resources including medicinal plants.",,,Crop production,,Yes ,,,Yes-Biodiversity,government,Ministry of Land and Forestry and Mines,Upper West Region,,,Completed,2002,2006,,,Mr. James Amissah,jamissah@mlf-gh.com,,,,,,,,,,,,,,,,,,,
P011,Northern Savanna Biodiversity Conservation (NSBC) Project,"Improve the livelihood and health of communities in the northern savanna zone of Ghana, and the environment through the conservation and sustainable use of natural resources including medicinal plants.",,,Crop production,,Yes ,,,Yes-Biodiversity,government,Ministry of Land and Forestry and Mines,Northern Region,,,Completed,2002,2006,,,Mr. James Amissah,jamissah@mlf-gh.com,,,,,,,,,,,,,,,,,,,
P012,Northern Rural Growth Programme (NGRP),"Achieve sustainable agricultural and rural livelihoods and food security for the rural poor particularly those in deprived areas, rural women and other vulnerable groups in its area of operations.",,,Crop production,Yes ,,,,,government,MoFA,Upper East Region,,,,2008,,,,,,,,Farming System,,,,,,,,,,,,,,,,
P012,Northern Rural Growth Programme (NGRP),"Achieve sustainable agricultural and rural livelihoods and food security for the rural poor particularly those in deprived areas, rural women and other vulnerable groups in its area of operations.",,,Crop production,Yes ,,,,,government,MoFA,Upper West Region,,,,2008,,,,,,,,Farming System,,,,,,,,,,,,,,,,
P012,Northern Rural Growth Programme (NGRP),"Achieve sustainable agricultural and rural livelihoods and food security for the rural poor particularly those in deprived areas, rural women and other vulnerable groups in its area of operations.",,,Crop production,Yes ,,,,,government,MoFA,Northern Region,,,,2008,,,,,,,,Farming System,,,,,,,,,,,,,,,,
P012,Northern Rural Growth Programme (NGRP),"Achieve sustainable agricultural and rural livelihoods and food security for the rural poor particularly those in deprived areas, rural women and other vulnerable groups in its area of operations.",,,Crop production,Yes ,,,,,government,MoFA,Brong Ahafo,,,,2008,,,,,,,,Farming System,,,,,,,,,,,,,,,,
P013,Volta Region Agricultural Development Project,"Increase agricultural production, boost farm incomes and improve rural living standards",International Fund for Agricultural Development,IFAD,Crop production,,Yes ,,,,government,MOFA,Volta Region,All districts,All communities,Completed,1980,1988,https://projects.worldbank.org/en/projects-operations/project-detail/P000856,,,,,small scale farmers,,,,,,,,,,,,,,,,,
P014,Smallholder Rehabilitation and Development Programme,Supported smallholder farmers cultivating cereals and groundroots in the Ashanti and Northern regions,,,Crop Production ,,Yes ,,,,government,MoFA,Ashanti Region,,,Completed,1986,1995,,,,,,,,,,,,,,,,,,,,,,,
P014,Smallholder Rehabilitation and Development Programme,Supported smallholder farmers cultivating cereals and groundroots in the Ashanti and Northern regions,,,Crop Production ,,Yes ,,,,government,MoFA,Northern Region,,,Completed,1986,1995,,,,,,,,,,,,,,,,,,,,,,,
P015,"Smallholder Credit, Input Supply and Marketing Project",The project's goal was to help farmers achieve better food security by increasing production and managing their surpluses better.,,,Financial,,,,,,ngo,,Bono Region,,,Completed,1989,1998,"Smallholder Credit, Input Supply and Marketing Project (ifad.org)",,,ifad@ifad.org,,,,,,,,,,,,,,,,,,,
P015,"Smallholder Credit, Input Supply and Marketing Project",The project's goal was to help farmers achieve better food security by increasing production and managing their surpluses better.,,,Financial,,,,,,ngo,,Ashanti Region,,,Completed,1989,1998,"Smallholder Credit, Input Supply and Marketing Project (ifad.org)",,,ifad@ifad.org,,,,,,,,,,,,,,,,,,,
P015,"Smallholder Credit, Input Supply and Marketing Project",The project's goal was to help farmers achieve better food security by increasing production and managing their surpluses better.,,,Financial,,,,,,ngo,,Volta Region,,,Completed,1989,1998,"Smallholder Credit, Input Supply and Marketing Project (ifad.org)",,,ifad@ifad.org,,,,,,,,,,,,,,,,,,,
P015,"Smallholder Credit, Input Supply and Marketing Project",The project's goal was to help farmers achieve better food security by increasing production and managing their surpluses better.,,,Financial,,,,,,ngo,,Eastern Region,,,Completed,1989,1998,"Smallholder Credit, Input Supply and Marketing Project (ifad.org)",,,ifad@ifad.org,,,,,,,,,,,,,,,,,,,
P016,Upper East Region Land Conservation and Smallholder Rehabilitation Project,Increasing the incomes of rural poor people in the region while protecting the environment and improving access to water.,,,Crop Production ,Yes ,Yes ,,,,government,MoFA,Upper East Region,,,Completed,1990,1997,https://www.ifad.org/en/web/operations/-/project/1100000457,,,,"Maize, millet and soybeans",,Farming System,,,,,,,,,,,,,,,,
P017,Upper-East Region Land Conservation and Smallholder Rehabilitation Project - Phase II,Increasing the incomes of rural poor people in the region while protecting the environment and improving access to water.,,,Crop Production ,Yes ,Yes ,,,,government,MoFA,Upper East Region,,,Completed,,,,,,,,,Farming System,,,,,,,,,,,,,,,,
P018,Upper West Agricultural Development Project,"Increasing agricultural productivity through development, enhancing community and women's participation, increasing access to financial services and loans, developing infrastructure for water management and improving project management.",International Fund for Agricultural Development,IFAD,Crop Production ,Yes ,Yes ,,,,government,MoFA,Upper West Region,,,Completed,1995,2004,https://www.ifad.org/en/-/document/president-s-report-upper-west-agricultural-development-project,,,,,"smallholder farmers, women, microentrepreneurs",Farming System,,,,,,,,,,,,,,,,
P019,Root and Tuber Improvement Programme,Enhance food security and improve incomes of resource poor farmers by facilitating their access to adaptable and proven Root & Tuber technologies.,,,Crop Production ,,,,,,government,MOFA,All Regions,,,Completed,1997,2005,https://www.ifad.org/en/web/operations/-/project/1100001053,,,,Cassava,,,,,,,,,,,,,,,,,,
P020,Northern Region Poverty-Reduction Programme,Contribute to an equitable and sustainable poverty reduction and food security among rural households.,,,Crop Production ,Yes ,Yes ,,,,government,Ministry of Local government and Rural Development,Brong Ahafo,,,Completed,2007,2018,https://projectsportal.afdb.org/dataportal/VProject/show/P-GH-AA0-030,,Tabi KARIKARI,t.karikari@afdb.org,,,,,,,,,,,,,,,,,,,
P020,Northern Region Poverty-Reduction Programme,Contribute to an equitable and sustainable poverty reduction and food security among rural households.,,,Crop Production ,Yes ,Yes ,,,,government,Ministry of Local government and Rural Development,Northern Region,,,Completed,2007,2018,https://projectsportal.afdb.org/dataportal/VProject/show/P-GH-AA0-030,,Tabi KARIKARI,t.karikari@afdb.org,,,,,,,,,,,,,,,,,,,
P020,Northern Region Poverty-Reduction Programme,Contribute to an equitable and sustainable poverty reduction and food security among rural households.,,,Crop Production ,Yes ,Yes ,,,,government,Ministry of Local government and Rural Development,Upper East Region,,,Completed,2007,2018,https://projectsportal.afdb.org/dataportal/VProject/show/P-GH-AA0-030,,Tabi KARIKARI,t.karikari@afdb.org,,,,,,,,,,,,,,,,,,,
P020,Northern Region Poverty-Reduction Programme,Contribute to an equitable and sustainable poverty reduction and food security among rural households.,,,Crop Production ,Yes ,Yes ,,,,government,Ministry of Local government and Rural Development,Upper West Region,,,Completed,2007,2018,https://projectsportal.afdb.org/dataportal/VProject/show/P-GH-AA0-030,,Tabi KARIKARI,t.karikari@afdb.org,,,,,,,,,,,,,,,,,,,
P022,Ghana Landscape Restoration and Small Scale Mining Project (GLRSSMP) ,Strengthen integrated natural resource management and increase benefits to communities in targeted savannah and cocoa forest land scapes,,,"Crop Production, Forestry",Yes ,Yes,No,No,"Yes- Environment and Natural Resource Management, Urban and Rural Development, Human Development and Gender, Private Sector Development",government,"Environmental Protection Agency, Ministry of Lands and Natural Resources",Ashanti Region,"Adansi South (Pra River Basin)
Asante Akim South (Pra River Basin)
Atwima Mponua (Tano River Basin)
Bosome Freho (Pra River Basin)
Juaben Municipal (Pra River Basin)
Sekyere Afram Plains North (Afram River Basin)
Sene West (Sene River Basin)
Assin North (Pra River Basin)
Twifo Ati Morkwa (Pra River Basin)
East Akim (Pra River Basin) (ASM)
Kwahu Afram Plains North (Afram River Basin)
Kwahu South (Pra River Basin)
Kwahu East (Pra River Basin)
Kwahu West (Pra River Basin)
Kwahu Afram Plains South (Obosum River Basin / Afram River Basin)
Mamprugu Moagduri (Nasia River Basin)
West Mamprusi (Nasia River Basin)
Sawla-Tuna-Kalba (Black Volta River Basin)
West Gonja (Black Volta River Basin)
Builsa South (Sisili River Basin)
Bawku West (Red Volta River Basin)
Kassena-Nankana (Sisili River Basin)
Talensi (Red Volta River Basin)
Daffiama-Bussie-Issa (Kulpawn River Basin)
Sissala East (Sisili River Basin)
Sissala West (Kulpawn River Basin)
Wa East (Kulpawn River Basin)
Prestea-Huni Valley (Pra River Basin) (ASM)
",,ongoing,2022,2027,https://projects.worldbank.org/en/projects-operations/project-detail/P171933    https://documents1.worldbank.org/curated/en/483071619607979806/pdf/Project-Information-Document-Ghana-Landscape-Restoration-and-Small-Scale-Mining-Project-P171933.pdf,,Neeta Hooda,,,,,,,,,,,,,,,,,,,,
